service_id,date,exception_type
H  04LP108_101004,20260501,1
H  04SP101_101004,20260502,1
H  05LP105_101005,20260427,1
H  05LP105_101005,20260428,1
H  05LP105_101005,20260429,1
H  05LP105_101005,20260430,1
H  05LP105_101005,20260501,1
H  06LP112_101006,20260427,1
H  06LP112_101006,20260428,1
H  06LP112_101006,20260429,1
H  06LP112_101006,20260430,1
H  06LP112_101006,20260501,1
H  07LP112_101007,20260427,1
H  07LP112_101007,20260428,1
H  07LP112_101007,20260429,1
H  07LP112_101007,20260430,1
H  07LP112_101007,20260501,1
H  08LP112_101008,20260427,1
H  08LP112_101008,20260428,1
H  08LP112_101008,20260429,1
H  08LP112_101008,20260430,1
H  08LP112_101008,20260501,1
H  09LP107_101009,20260427,1
H  09LP107_101009,20260428,1
H  09LP107_101009,20260429,1
H  09LP107_101009,20260430,1
H  09LP107_101009,20260501,1
H  10LP109_101010,20260427,1
H  10LP109_101010,20260428,1
H  10LP109_101010,20260429,1
H  10LP109_101010,20260430,1
H  10LP109_101010,20260501,1
H  11LP108_101011,20260427,1
H  11LP108_101011,20260428,1
H  11LP108_101011,20260429,1
H  11LP108_101011,20260430,1
H  11LP108_101011,20260501,1
H  12LP107_101012,20260427,1
H  12LP107_101012,20260428,1
H  12LP107_101012,20260429,1
H  12LP107_101012,20260430,1
H  12LP107_101012,20260501,1
L1101FP104_011001,20260501,1
L1101FP104_011001,20260503,1
L1101LP102_011001,20260427,1
L1101LP102_011001,20260428,1
L1101LP102_011001,20260429,1
L1101LP102_011001,20260430,1
L1101LP102_011001,20260501,1
L1101SP107_011001,20260502,1
L1102FP104_011002,20260501,1
L1102FP104_011002,20260503,1
L1102LP105_011002,20260427,1
L1102LP105_011002,20260428,1
L1102LP105_011002,20260429,1
L1102LP105_011002,20260430,1
L1102LP105_011002,20260501,1
L1102SP104_011002,20260502,1
L1103FP104_011003,20260501,1
L1103FP104_011003,20260503,1
L1103LP103_011003,20260427,1
L1103LP103_011003,20260428,1
L1103LP103_011003,20260429,1
L1103LP103_011003,20260430,1
L1103LP103_011003,20260501,1
L1103SP104_011003,20260502,1
L1104FP104_011004,20260501,1
L1104FP104_011004,20260503,1
L1104LP102_011004,20260427,1
L1104LP102_011004,20260428,1
L1104LP102_011004,20260429,1
L1104LP102_011004,20260430,1
L1104LP102_011004,20260501,1
L1104SP104_011004,20260502,1
L1105FP104_011005,20260501,1
L1105FP104_011005,20260503,1
L1105LP104_011005,20260427,1
L1105LP104_011005,20260428,1
L1105LP104_011005,20260429,1
L1105LP104_011005,20260430,1
L1105LP104_011005,20260501,1
L1105SP104_011005,20260502,1
L1201LP301_012001,20260427,1
L1201LP301_012001,20260428,1
L1201LP301_012001,20260429,1
L1201LP301_012001,20260430,1
L1201LP301_012001,20260501,1
L1201SP101_012001,20260502,1
L1202LP103_012002,20260427,1
L1202LP103_012002,20260428,1
L1202LP103_012002,20260429,1
L1202LP103_012002,20260430,1
L1202LP103_012002,20260501,1
L1202SP100_012002,20260502,1
L1203LP104_012003,20260427,1
L1203LP104_012003,20260428,1
L1203LP104_012003,20260429,1
L1203LP104_012003,20260430,1
L1203LP104_012003,20260501,1
L1203SP104_012003,20260502,1
L1204LP104_012004,20260427,1
L1204LP104_012004,20260428,1
L1204LP104_012004,20260429,1
L1204LP104_012004,20260430,1
L1204LP104_012004,20260501,1
L1204SP102_012004,20260502,1
L1205LP101_012005,20260427,1
L1205LP101_012005,20260428,1
L1205LP101_012005,20260429,1
L1205LP101_012005,20260430,1
L1205LP101_012005,20260501,1
L1301LP101_013001,20260427,1
L1301LP101_013001,20260428,1
L1301LP101_013001,20260429,1
L1301LP101_013001,20260430,1
L1301LP101_013001,20260501,1
L1302LP502_013002,20260427,1
L1302LP502_013002,20260428,1
L1302LP502_013002,20260429,1
L1302LP502_013002,20260430,1
L1302LP502_013002,20260501,1
L1303LP101_013003,20260427,1
L1303LP101_013003,20260428,1
L1303LP101_013003,20260429,1
L1303LP101_013003,20260430,1
L1303LP101_013003,20260501,1
L1401L0106_014001,20260427,1
L1401L0106_014001,20260428,1
L1401L0106_014001,20260429,1
L1401L0106_014001,20260430,1
L1401L0106_014001,20260501,1
L1401S0104_014001,20260502,1
L1501FP100_015001,20260501,1
L1501FP100_015001,20260503,1
L1501LP102_015001,20260427,1
L1501LP102_015001,20260428,1
L1501LP102_015001,20260429,1
L1501LP102_015001,20260430,1
L1501LP102_015001,20260501,1
L1501SP101_015001,20260502,1
L1502FP100_015002,20260501,1
L1502FP100_015002,20260503,1
L1502LP102_015002,20260427,1
L1502LP102_015002,20260428,1
L1502LP102_015002,20260429,1
L1502LP102_015002,20260430,1
L1502LP102_015002,20260501,1
L1502SP102_015002,20260502,1
L1503FP100_015003,20260501,1
L1503FP100_015003,20260503,1
L1503LP100_015003,20260427,1
L1503LP100_015003,20260428,1
L1503LP100_015003,20260429,1
L1503LP100_015003,20260430,1
L1503LP100_015003,20260501,1
L1503SP100_015003,20260502,1
L1504FP101_015004,20260501,1
L1504FP101_015004,20260503,1
L1504LP101_015004,20260427,1
L1504LP101_015004,20260428,1
L1504LP101_015004,20260429,1
L1504LP101_015004,20260430,1
L1504LP101_015004,20260501,1
L1504SP100_015004,20260502,1
L1505LP101_015005,20260427,1
L1505LP101_015005,20260428,1
L1505LP101_015005,20260429,1
L1505LP101_015005,20260430,1
L1505LP101_015005,20260501,1
L1505SP100_015005,20260502,1
L1506LP101_015006,20260427,1
L1506LP101_015006,20260428,1
L1506LP101_015006,20260429,1
L1506LP101_015006,20260430,1
L1506LP101_015006,20260501,1
L1506SP100_015006,20260502,1
L1507LP100_015007,20260427,1
L1507LP100_015007,20260428,1
L1507LP100_015007,20260429,1
L1507LP100_015007,20260430,1
L1507LP100_015007,20260501,1
L1507SP100_015007,20260502,1
L1508LP103_015008,20260427,1
L1508LP103_015008,20260428,1
L1508LP103_015008,20260429,1
L1508LP103_015008,20260430,1
L1508LP103_015008,20260501,1
L1601FP102_016001,20260501,1
L1601FP102_016001,20260503,1
L1601LP103_016001,20260427,1
L1601LP103_016001,20260428,1
L1601LP103_016001,20260429,1
L1601LP103_016001,20260430,1
L1601LP103_016001,20260501,1
L1601SP102_016001,20260502,1
L1701FP102_017001,20260501,1
L1701FP102_017001,20260503,1
L1701LP102_017001,20260427,1
L1701LP102_017001,20260428,1
L1701LP102_017001,20260429,1
L1701LP102_017001,20260430,1
L1701LP102_017001,20260501,1
L1701SP101_017001,20260502,1
L1702FP102_017002,20260501,1
