shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_275,42.1869389484668,-8.76952400509447,25843,1111
Route_275,42.1869866461311,-8.7695293695125,25844,1117
Route_275,42.1870303689584,-8.76957496706575,25845,1123
Route_275,42.1870513444569,-8.76961082471677,25846,1126
Route_275,42.1870601799598,-8.76962592903703,25847,1128
Route_275,42.1871774370149,-8.76996388737291,25848,1159
Route_275,42.1871992983664,-8.7700524002704,25849,1167
Route_275,42.1872132101316,-8.77013823095888,25850,1174
Route_275,42.1872231471048,-8.77023747269243,25851,1182
Route_275,42.1872291092911,-8.77032330338091,25852,1189
Route_275,42.1872390462619,-8.77039840523332,25853,1195
Route_275,42.1873264915755,-8.77088388506502,25854,1237
Route_275,42.1873463654849,-8.77102335993379,25855,1248
Route_275,42.187350340266,-8.77111187283128,25856,1256
Route_275,42.1873582898276,-8.77122452560991,25857,1265
Route_275,42.1873563024377,-8.77136131826967,25858,1276
Route_275,42.1873463654853,-8.77144714895815,25859,1284
Route_275,42.187326491576,-8.77154102627367,25860,1292
Route_275,42.1872946933581,-8.7716375857982,25861,1300
Route_275,42.1872469959261,-8.77172609869569,25862,1309
Route_275,42.1872112228286,-8.77180656496614,25863,1317
Route_275,42.1871893614812,-8.77187362019151,25864,1323
Route_275,42.1871754497108,-8.77193262878984,25865,1328
Route_275,42.1871655127353,-8.77207746807665,25866,1340
Route_275,42.187155575753,-8.7721767098102,25867,1349
Route_275,42.1871376891809,-8.77225985828966,25868,1356
Route_275,42.1871138404101,-8.77233496014208,25869,1362
Route_275,42.1870959538262,-8.77239933315843,25870,1368
Route_275,42.1870800546528,-8.77250393931001,25871,1377
Route_275,42.1870780672538,-8.77257635895342,25872,1383
Route_275,42.1870860168495,-8.77264073196977,25873,1388
Route_275,42.1871118530287,-8.77269169394106,25874,1393
Route_275,42.1871595505626,-8.7727533847484,25875,1401
Route_275,42.1872132103854,-8.77277484242052,25876,1407
Route_275,42.1872867439506,-8.77279093567461,25877,1415
Route_275,42.1874477228692,-8.77283116880983,25878,1433
Route_275,42.1875053948213,-8.77284960341228,25879,1440
Route_275,42.1875232435467,-8.77285530869096,25880,1442
Route_275,42.1875482281121,-8.77287638343898,25881,1445
Route_275,42.1875709407702,-8.77289554182619,25882,1448
Route_275,42.1876007515165,-8.77294650379747,25883,1454
Route_275,42.1876226127217,-8.77299210135072,25884,1458
Route_275,42.187638512295,-8.77306720320314,25885,1465
Route_275,42.1876683230096,-8.77315303389162,25886,1472
Route_275,42.1877199949115,-8.77329787317842,25887,1486
Route_275,42.1878571239052,-8.77357145849794,25888,1513
Route_275,42.1882406865637,-8.7743922144565,25889,1593
Route_275,42.1884354483599,-8.77480795685381,25890,1634
Route_275,42.1886421330858,-8.77518346611589,25891,1672
Route_275,42.188673931196,-8.77525588575929,25892,1679
Route_275,42.1887017540742,-8.77532294098467,25893,1685
Route_275,42.1887256022458,-8.77540340725511,25894,1693
Route_275,42.1887774258455,-8.77572801473365,25895,1720
Route_275,42.1888031087528,-8.77588888708681,25896,1734
Route_275,42.1888309315742,-8.77607664171785,25897,1749
Route_275,42.1888408682932,-8.77614101473421,25898,1755
Route_275,42.1888473421446,-8.77617072186699,25899,1757
Route_275,42.1888607417264,-8.77623220984071,25900,1763
Route_275,42.1888945265487,-8.77628048960298,25901,1768
Route_275,42.1889036614036,-8.77629144850518,25902,1769
Route_275,42.1889039617887,-8.77629180887118,25903,1770
Route_275,42.1889302988556,-8.77632340494722,25904,1773
Route_275,42.1889701465251,-8.77635152798318,25905,1778
Route_275,42.1889716713713,-8.7763606471296,25906,1778
Route_275,42.1890514304784,-8.77633612758584,25907,1787
Route_275,42.1894210750533,-8.77625297910637,25908,1828
Route_275,42.1897291100969,-8.77618324167199,25909,1863
Route_275,42.1903829360904,-8.77602767354912,25910,1937
Route_275,42.1908817470102,-8.77589356309838,25911,1993
Route_275,42.1909989963905,-8.77582919008202,25912,2007
Route_275,42.1910725255519,-8.77577286369271,25913,2017
Route_275,42.1911460559405,-8.77570580846734,25914,2027
Route_275,42.1917581329758,-8.77505671388573,25915,2113
Route_275,42.1921774426642,-8.77460878498025,25916,2173
Route_275,42.1923861041124,-8.77437811500496,25917,2203
Route_275,42.1924477082798,-8.77429764873452,25918,2212
Route_275,42.1925053379305,-8.77421181804604,25919,2222
Route_275,42.1930021441476,-8.77328109151787,25920,2316
Route_275,42.1931432371918,-8.77303701049752,25921,2342
Route_275,42.1931790069324,-8.77296459085412,25922,2349
Route_275,42.1931922633191,-8.77291028929745,25923,2354
Route_275,42.1931926014299,-8.77291025641114,25924,2354
Route_275,42.1931926014931,-8.77286599996239,25925,2358
Route_275,42.1931965759066,-8.7728311312452,25926,2361
Route_275,42.1932144607645,-8.772796262528,25927,2364
Route_275,42.1932422816443,-8.77276944043786,25928,2368
Route_275,42.1932701025122,-8.77275066497475,25929,2371
Route_275,42.1933018977747,-8.77273188951165,25930,2375
Route_275,42.1933376674256,-8.77271311404854,25931,2379
Route_275,42.1933674754525,-8.77267824533135,25932,2384
Route_275,42.1934966435275,-8.77248780849129,25933,2405
Route_275,42.1936233184364,-8.77223134013477,25934,2431
Route_275,42.1936357471842,-8.77220617654473,25935,2433
Route_275,42.1937294539258,-8.77202296706546,25936,2451
Route_275,42.193906005611,-8.77167778136879,25937,2486
Route_275,42.1942517752254,-8.77084093215615,25938,2565
Route_275,42.1945995302583,-8.7698592436567,25939,2655
Route_275,42.1946412607281,-8.76970635774285,25940,2668
Route_275,42.1946770296214,-8.76954542520195,25941,2682
Route_275,42.1947437197282,-8.76924998962456,25942,2708
Route_275,42.1947545704493,-8.76920192081153,25943,2712
Route_275,42.1948320280559,-8.76885877969414,25944,2741
Route_275,42.1949989489996,-8.76825528266579,25945,2795
Route_275,42.1950526020282,-8.76812117221505,25946,2807
Route_275,42.1953725329586,-8.76753376844079,25947,2867
Route_275,42.1957253676601,-8.76698623118872,25948,2927
Route_275,42.1960075397769,-8.76646588263984,25949,2980
Route_275,42.1961130303916,-8.76624573998371,25950,3002
Route_275,42.1963095816275,-8.76583556352134,25951,3042
Route_275,42.1963648337445,-8.76571899787381,25952,3054
Route_275,42.1968143063471,-8.76477072654242,25953,3146
Route_275,42.1969414808675,-8.76455614982123,25954,3169
Route_275,42.1970289127215,-8.76443813262458,25955,3183
Route_275,42.1972335831103,-8.76419405160422,25956,3213
Route_275,42.1974303037017,-8.76399556813712,25957,3240
Route_275,42.1979131628322,-8.76348058400626,25958,3309
Route_275,42.1980284121148,-8.76331696925635,25959,3328
Route_275,42.1981218036208,-8.76316944776053,25960,3343
Route_275,42.198223143944,-8.76299778638358,25961,3362
Route_275,42.1983602501528,-8.76271883664603,25962,3389
Route_275,42.1984413681871,-8.76255459035462,25963,3405
Route_275,42.198444324815,-8.76254860381217,25964,3406
Route_275,42.1990398163757,-8.7613428634214,25965,3526
Route_275,42.1993597275546,-8.76070449767585,25966,3589
Route_275,42.1993679041216,-8.76068818169744,25967,3591
Route_275,42.1993962837557,-8.76063155132216,25968,3596
Route_275,42.1994062719447,-8.76061162028254,25969,3598
Route_275,42.199451130083,-8.76052210746283,25970,3607
Route_275,42.1995047793312,-8.76039872584815,25971,3619
Route_275,42.1995393831234,-8.76030530519069,25972,3628
Route_275,42.19964784441,-8.76001248775,25973,3655
Route_275,42.1997553195933,-8.75972605324792,25974,3681
Route_275,42.1998158250347,-8.75956479758048,25975,3696
Route_275,42.1998373211538,-8.75950750712345,25976,3701
Route_275,42.1998803240464,-8.75939289746756,25977,3712
Route_275,42.1999974375561,-8.75910599481218,25978,3739
Route_275,42.2000412705624,-8.75899861274237,25979,3749
Route_275,42.2003572023436,-8.75823686538214,25980,3821
Route_275,42.2007168455097,-8.75735978303427,25981,3904
Route_275,42.2009751523018,-8.75672409949775,25982,3964
Route_275,42.2012612749024,-8.75613133130546,25983,4022
Route_275,42.2014659317329,-8.75577191529746,25984,4059
Route_275,42.2016924432496,-8.75538835940833,25985,4100
Route_275,42.2020540663557,-8.75479559121604,25986,4163
Route_275,42.2024566253899,-8.75417400376693,25987,4231
Route_275,42.2027427405792,-8.75379849450485,25988,4276
Route_275,42.2028777478798,-8.75368604128518,25989,4293
Route_275,42.2030107994479,-8.75357521651406,25990,4311
Route_275,42.2031162779042,-8.75348735825912,25991,4324
Route_275,42.2031934299347,-8.75342909678976,25992,4334
Route_275,42.2047216834601,-8.75227499978439,25993,4529
Route_275,42.2051499565102,-8.75189776123554,25994,4586
Route_275,42.2053883768885,-8.75166172684223,25995,4618
Route_275,42.2054599024879,-8.75158126057178,25996,4629
Route_275,42.2055195070927,-8.75147397221119,25997,4640
Route_275,42.2055691786693,-8.75133986176044,25998,4652
Route_275,42.2055969941103,-8.75125939549,25999,4660
Route_275,42.2056039422387,-8.75125209993603,26000,4661
Route_275,42.2056327568025,-8.75122184456379,26001,4665
Route_275,42.2056744799172,-8.75119770468265,26002,4670
Route_275,42.2057221634436,-8.75117892921955,26003,4675
Route_275,42.2057718337451,-8.75117892921955,26004,4681
Route_275,42.205810262763,-8.75119449305643,26005,4685
Route_275,42.2058532929552,-8.7512245267728,26006,4691
Route_275,42.2058830950788,-8.75125939549,26007,4695
Route_275,42.2059069367675,-8.75130231083423,26008,4699
Route_275,42.2059446860899,-8.7513505905965,26009,4705
Route_275,42.2060023034331,-8.75140691698581,26010,4713
Route_275,42.2060718418546,-8.75143910349399,26011,4721
Route_275,42.2061354194816,-8.75145251453907,26012,4728
Route_275,42.2062069445608,-8.75143910349399,26013,4736
Route_275,42.2066261578613,-8.75133986176044,26014,4784
Route_275,42.2069202022052,-8.75121648014576,26015,4818
Route_275,42.2070040645632,-8.75119688991957,26016,4827
Route_275,42.2070041350133,-8.75119679634406,26017,4827
Route_275,42.2071034740029,-8.75113912885024,26018,4839
Route_275,42.2071551299858,-8.75110694234206,26019,4845
Route_275,42.2072008256277,-8.75108012025191,26020,4851
Route_275,42.2072425477066,-8.75105598037078,26021,4856
Route_275,42.2074253299319,-8.75092455212905,26022,4879
Route_275,42.207481061737,-8.75087364025115,26023,4886
Route_275,42.2074812832836,-8.75087358865505,26024,4886
Route_275,42.2081448576168,-8.75015609774357,26025,4981
Route_275,42.208314132999,-8.74996392561649,26026,5005
Route_275,42.2086369566575,-8.74959743188444,26027,5052
Route_275,42.2090190180701,-8.74916368040806,26028,5108
